[INFO ] [2021-01-12 01:02:57,066] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-12 01:03:02,406]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 01:03:02,408] TC_01_Sort_Product_Name: Name (Z to A)
[INFO ] [2021-01-12 01:03:07,746]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 01:03:07,818] TC_02_Sort_Product_Price: Price (low to high)
[INFO ] [2021-01-12 01:03:13,165]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 01:03:13,165] TC_02_Sort_Product_Price: Price (high to low)
[INFO ] [2021-01-12 01:03:18,487]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 09:26:47,488] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-12 09:26:52,827]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 09:26:52,829] TC_01_Sort_Product_Name: Name (Z to A)
[INFO ] [2021-01-12 09:26:58,164]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 09:26:58,249] TC_02_Sort_Product_Price: Price (low to high)
[INFO ] [2021-01-12 09:27:03,591]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 09:27:03,591] TC_02_Sort_Product_Price: Price (high to low)
[INFO ] [2021-01-12 09:27:08,921]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 15:40:49,144] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-12 15:40:54,443]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 15:40:54,445] TC_01_Sort_Product_Name: Name (Z to A)
[INFO ] [2021-01-12 15:40:59,682]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 15:40:59,771] TC_02_Sort_Product_Price: Price (low to high)
[INFO ] [2021-01-12 15:41:05,035]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-12 15:41:05,035] TC_02_Sort_Product_Price: Price (high to low)
[INFO ] [2021-01-12 15:41:10,297]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 10:46:21,065] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-13 10:46:26,473]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 10:46:26,475] TC_01_Sort_Product_Name: Name (Z to A)
[INFO ] [2021-01-13 10:46:31,783]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 10:46:31,860] TC_02_Sort_Product_Price: Price (low to high)
[INFO ] [2021-01-13 10:46:37,207]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 10:46:37,207] TC_02_Sort_Product_Price: Price (high to low)
[INFO ] [2021-01-13 10:46:42,517]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:44:42,509] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-13 11:45:41,214] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-13 11:45:46,554]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:45:46,556] TC_01_Sort_Product_Name: Name (Z to A)
[INFO ] [2021-01-13 11:45:51,866]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:45:51,949] TC_02_Sort_Product_Price: Price (low to high)
[INFO ] [2021-01-13 11:45:57,320]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:45:57,320] TC_02_Sort_Product_Price: Price (high to low)
[INFO ] [2021-01-13 11:46:02,649]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:49:33,814] TC_01_Sort_Product_Name: Name (A to Z)
[INFO ] [2021-01-13 11:49:39,099]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:49:39,101] TC_01_Sort_Product_Name: Name (Z to A)
[INFO ] [2021-01-13 11:49:44,327]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:49:44,414] TC_02_Sort_Product_Price: Price (low to high)
[INFO ] [2021-01-13 11:49:49,658]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-13 11:49:49,658] TC_02_Sort_Product_Price: Price (high to low)
[INFO ] [2021-01-13 11:49:54,877]  -------------------------- PASSED -------------------------- 
